A Dzogchen Tögal Prayer
Oṃ āḥ hūṃ
To the dharmakāya Samantabhadra and consort, I pray!
To the lord of the sixth family, the great Vajradhara, I pray!
To the teacher Vajrasattva, I pray!
To the vidyādhara Garab Dorje, I pray!
To Guru Śrī Siṃha, I pray!
To the eight vidyādharas of India, I pray!
To the deathless Padmākara, I pray!
To the princess Mandāravā, I pray!
To the king and subjects, the twenty-five disciples, I pray!
To the one hundred and eight treasure-revealers, I pray!
To the gracious root and lineage gurus, I pray!
To the forty-two peaceful deities, I pray!
To the pure vidyādhara and consort, I pray!
To the fifty blazing herukas, I pray!
To the five classes of dharma-keeping ḍākinīs, I pray!
To the ocean of oath-bound protectors, I pray!
Inspire me with your blessings, so that I may directly see dharmatā reality!
Inspire me with your blessings, so that visionary experiences may develop and increase!
Inspire me with your blessings, so that pure awareness may reach its full measure!
Inspire me with your blessings, so that I may attain the stage of exhaustion into dharmatā !
Inspire me with your blessings, so that I may accomplish the rainbow body!
Inspire me with your blessings, so that I may perfect the great transference!
Inspire me with your blessings, so that I may attain buddhahood in a single lifetime!
